epoch,g_total,g_adv,g_l1,d_total,d_real,d_fake,val_l1
1,0.33064762587845326,0.0,0.33064762587845326,0.0,0.0,0.0,0.0
2,0.3172208780944347,0.0,0.3172208780944347,0.0,0.0,0.0,0.0
3,0.3121670773401856,0.0,0.3121670773401856,0.0,0.0,0.0,0.0
4,0.30741788263618947,0.0,0.30741788263618947,0.0,0.0,0.0,0.0
5,0.3021826381087303,0.0,0.3021826381087303,0.0,0.0,0.0,0.3304738587141037
6,0.29702068062126635,0.0,0.29702068062126635,0.0,0.0,0.0,0.0
7,0.291353696629405,0.0,0.291353696629405,0.0,0.0,0.0,0.0
8,0.2863186882585287,0.0,0.2863186882585287,0.0,0.0,0.0,0.0
9,0.28062627419084313,0.0,0.28062627419084313,0.0,0.0,0.0,0.0
10,0.27539378277212384,0.0,0.27539378277212384,0.0,0.0,0.0,0.3217100026011467
11,0.27051664354652166,0.0,0.27051664354652166,0.0,0.0,0.0,0.0
12,0.2651144703924656,0.0,0.2651144703924656,0.0,0.0,0.0,0.0
13,0.26216641614586117,0.0,0.26216641614586117,0.0,0.0,0.0,0.0
14,0.257548505410552,0.0,0.257548505410552,0.0,0.0,0.0,0.0
15,0.2535468781143427,0.0,0.2535468781143427,0.0,0.0,0.0,0.3556028485894203
16,0.2493935607150197,0.0,0.2493935607150197,0.0,0.0,0.0,0.0
17,0.24511314442008733,0.0,0.24511314442008733,0.0,0.0,0.0,0.0
18,0.24082028721272947,0.0,0.24082028721272947,0.0,0.0,0.0,0.0
19,0.23575287630409003,0.0,0.23575287630409003,0.0,0.0,0.0,0.0
20,0.2318241522759199,0.0,0.2318241522759199,0.0,0.0,0.0,0.33297549131512644
21,0.22741507809609174,0.0,0.22741507809609174,0.0,0.0,0.0,0.0
22,0.22349749263375998,0.0,0.22349749263375998,0.0,0.0,0.0,0.0
23,0.2188886262178421,0.0,0.2188886262178421,0.0,0.0,0.0,0.0
24,0.21474732983857392,0.0,0.21474732983857392,0.0,0.0,0.0,0.0
25,0.2110889442116022,0.0,0.2110889442116022,0.0,0.0,0.0,0.3374182393550873
26,0.20756127720326184,0.0,0.20756127720326184,0.0,0.0,0.0,0.0
27,0.2038981979340315,0.0,0.2038981979340315,0.0,0.0,0.0,0.0
28,0.20036453798413276,0.0,0.20036453798413276,0.0,0.0,0.0,0.0
29,0.19714199610799552,0.0,0.19714199610799552,0.0,0.0,0.0,0.0
30,0.19414584891498088,0.0,0.19414584891498088,0.0,0.0,0.0,0.3329993803501129
31,0.19140132738649845,0.0,0.19140132738649845,0.0,0.0,0.0,0.0
32,0.1888401268273592,0.0,0.1888401268273592,0.0,0.0,0.0,0.0
33,0.18620375794917346,0.0,0.18620375794917346,0.0,0.0,0.0,0.0
34,0.18406342069804668,0.0,0.18406342069804668,0.0,0.0,0.0,0.0
35,0.18187246872484683,0.0,0.18187246872484683,0.0,0.0,0.0,0.33665164136886594
36,0.1800409410558641,0.0,0.1800409410558641,0.0,0.0,0.0,0.0
37,0.17836864256858825,0.0,0.17836864256858825,0.0,0.0,0.0,0.0
38,0.1770876114293933,0.0,0.1770876114293933,0.0,0.0,0.0,0.0
39,0.17604980014264585,0.0,0.17604980014264585,0.0,0.0,0.0,0.0
40,0.17496168131753803,0.0,0.17496168131753803,0.0,0.0,0.0,0.33481916338205336
